song,artist,comment
roar,katy perry,"roar is a song by american singer katy perry for her fourth studio album prism 2013 it was released as the lead single from the record on august 10 2013 perry cowrote the song with bonnie mckee and its producers dr luke max martin and cirkut it is a pop song containing elements of arena rock and lyrics centering on standing up for oneself and selfempowerment some critics praised the tracks production while others felt that its lyrics contained clichés
to promote the song perry performed under the brooklyn bridge at the end of the 2013 mtv video music awards on the x factor australia at the sydney opera house in late october 2013 and on the german tv show schlag den raab grady hall and mark kudsi directed the songs music video which features perry trying to adapt to the jungle where she survived a plane crash and taming a tiger it garnered generally mixed reviews from music critics roar was nominated for song of the year and best pop solo performance at the 56th annual grammy awards
the song was a commercial success topping charts in australia austria canada ireland israel lebanon new zealand scotland slovenia south korea the united kingdom and the united states by the end of 2013 roar had sold 99 million units combined sales and trackequivalent streams globally according to the international federation of the phonographic industry ifpi roar has sold over 6 million copies in the us over 1 million in the uk and was australias bestselling single of 2013 with 560000 copies sold within the year when roar was certified diamond by the recording industry association of america riaa perry became the first artist to have three diamond certified singles in the country"
locked out of heaven,bruno mars,"locked out of heaven is a song by american singer bruno mars from his second studio album unorthodox jukebox 2012 it was released as the lead single from the album on october 1 2012 the song was written by mars philip lawrence and ari levine of the smeezingtons and produced by mark ronson jeff bhasker emile haynie and the smeezingtons locked out of heaven is a reggae rock song influenced by new wave and funk the songs lyrics are about the rapturous feelings brought about by a relationship infused with positive emotion as well as euphoria from sex
locked out of heaven was well received by most critics some of whom complimented mars different musical direction his vocals were praised being called smooth and sweet while its sound was lauded with the song being called interesting and a musical evolution while some critics noted influences from various bands mars stated that the police were the ones who influenced him the most to write the song the single charted inside the top ten in over twenty countries including the united states where it became mars fourth number one single on the billboard hot 100 holding the spot for six consecutive weeks and topping the canadian hot 100 for three consecutive weeks locked out of heaven was certified six and seven times platinum by the recording industry association of america riaa and by the australian recording industry association aria respectively
the songs music video was shot by director cameron duddy and by mars it and depicts mars and his bandmates leisurely engaging in activities such as smoking drinking and playing games the singer performed locked out of heaven on television shows such as saturday night live and the x factor and included it on the moonshine jungle tour and the 24k magic world tour it was also used at his super bowl xlviii halftime show set list the song won several awards and received three grammy nominations the song has also been covered by various recording artists including leona lewis and bastille"
ho hey,the lumineers,ho hey is a song by american folk rock band the lumineers it was released on june 4 2012 as the lead single from their debut selftitled studio album the music video was released on march 11 2012 ho hey reached number one for 18 nonconsecutive weeks on the billboard rock songs chart as well as two weeks in the top spot on the billboard alternative songs chart and eight weeks in the top spot on the adult pop songs chart and reached number 3 on the billboard hot 100 chart becoming their first single to do so as well as their first top 5 single it is also their first single to be certified in the us
stay,rihanna featuring mikky ekko,"stay is a song recorded by barbadian singer rihanna for her seventh studio album unapologetic 2012 it features guest vocals by mikky ekko and was released as the second single from the album on january 7 2013 stay was cowritten by ekko and justin parker the songs lyrical content speaks of temptation and the inability to resist true love music critics were generally positive in their opinion regarding the balladry with most describing it as a standout track on the album though a few labeled it as boring
upon the release of unapologetic stay charted on multiple charts worldwide following its release as a single it reached number one in bulgaria canada the czech republic denmark and israel and the top five in twentyfour countries worldwide including australia france germany new zealand norway switzerland and the united kingdom it peaked at number three on the us billboard hot 100 becoming rihannas twentyfourth top ten on the chart thus surpassing whitney houstons tally furthermore it has charted at number one on the us pop songs chart and 16 on the hot dance club songs chart worldwide the single has sold over 10 million copies making it one of the best selling singles of all time
the songs accompanying music video directed by sophie muller depicts rihanna naked in a bathtub filled with cloudy water while ekko sings in a separate bathroom critics likened the vulnerability and raw emotion in the video to the song itself rihanna premiered stay on saturday night live in the united states while she performed the song in the united kingdom on the ninth series of the x factor rihanna and ekko also performed stay at the 2013 grammy awards the track was included on the set list of the majority of her 777 tour promotional tour dates in support of the album while it was included on rihannas fifth headlining tour the diamonds world tour in the encore and the opening song of her seventh headlining tour the anti world tour"
get lucky,daft punk featuring pharrell williams,"get lucky is a song by french house music duo daft punk featuring pharrell williams and cowritten by the duo williams and nile rodgers it is the lead single from daft punks fourth studio album random access memories before its release as a single get lucky was featured in television advertisements broadcast during saturday night live after which rodgers and williams announced their involvement in the track small excerpts also appear throughout the promotional video series the collaborators
get lucky is a disco song with lyrics that according to williams are about the good fortune of connecting with someone as well as sexual chemistry after it leaked in midapril the single was released as a digital download on 19 april 2013 get lucky has since received acclaim from critics and has spawned numerous cover versions and parodies the single reached the top ten in the music charts of over 32 countries and has sold more than 93 million copies making it one of the bestselling songs of all time the song won awards for record of the year and best pop duogroup performance at the 56th annual grammy awards during which stevie wonder joined rodgers williams and daft punk onstage to perform the song"
royals,lorde,"royals is a song by new zealand singer lorde released on 3 june 2013 by universal music group as the lead single from her debut extended play the love club ep 2012 it was later included on her debut studio album pure heroine 2013 lorde cowrote the song with her producer joel little after the two were paired by her ar representative scott maclachlan royals was described as an art pop and electropop song with elements of electronic music and grime style and influences of alternative music rb and indie pop its lyrics disapprove of the luxurious lifestyle of contemporary artists
royals received acclaim from music critics who praised its minimal production and lyrics the song appeared on many critics yearend lists including rolling stone time and spin after succeeding in australia and new zealand the song was promoted in the united states where it rose to the number one spot on the billboard hot 100 in so doing lorde became the first new zealand solo act to top the hot 100 chart as well as the youngest artist to have a numberone single since 1987 it also peaked atop the record charts of many other countries including canada ireland new zealand and the united kingdom as of december 2017 the single has sold 10 million copies worldwide and was certified diamond by the recording industry association of america
lorde performed royals on numerous television shows including late night with jimmy fallon the ellen degeneres show and the 2013 new zealand music awards joel kefali directed two music videos for royals an international version and a version for the us royals won awards including the grammy award for song of the year best pop solo performance and the apra silver scroll award a live mashup with disclosure and alunageorges song white noise at the 2014 brit awards was released as a charity single in 2014 in the media the song has been credited for inspiring some artists to adopt its minimalist sound and has been called an anthem for the millennials"
i knew you were trouble,taylor swift,"i knew you were trouble is a song recorded by american singersongwriter taylor swift for her fourth studio album red 2012 it was released on october 9 2012 in the united states by big machine records as the third promotional single from the album later i knew you were trouble was released as the third single from red on november 27 2012 in the united states it was written by swift max martin and shellback with the production handled by the latter two
i knew you were trouble received generally positive reviews from music critics who commended its mainstream appeal yet noted swifts experimentation with dubstep as relatively limited due to strong digital sales the song debuted at number three on the billboard hot 100 chart in the united states selling more than 416000 copies within its first week it later peaked at number two in january 2013 blocked from the top spot by bruno marss locked out of heaven at the inaugural youtube music awards in 2013 i knew you were trouble won the award for youtube phenomenon the single has been certified sextuple platinum by the recording industry association of america riaa the song had sold 5 million copies in the united states alone by 2014"
we cant stop,miley cyrus,"we cant stop is a song by american recording artist miley cyrus from her fourth studio album bangerz 2013 it was released on june 3 2013 by rca records as the lead single from the album the song was written and produced by mike will made it pnasty and rock city with additional songwriting provided by cyrus doug e fresh and slick rick we cant stop is a pop and rb song that talks of a house party and recreational drug use
we cant stop received mixed reviews from music critics who appreciated its overall production but were scathing towards its lyrical content it peaked at number two on the billboard hot 100 and tied her earlier track party in the usa 2009 as her highestpeaking single in the country at the time it was kept off the top spot by blurred lines by robin thicke pharrell and ti as of january 2014 it had sold over two million copies in the united states the song experienced varying success internationally it reached the peak position in countries including new zealand and the united kingdom and peaked moderately in several national record charts in europe
an accompanying music video for we cant stop was released on june 19 2013 it received generally mixed reviews from critics who were divided in their opinions regarding cyrus increasingly provocative image with 107 million views in the first twentyfour hours of its release the clip held the record for having the most views in that timeframe across vevo platforms after reaching 100 million views within thirtyseven days it also set the record for being the fastest music video to attain a vevo certification both records were eventually broken by the music video for cyrus followup single wrecking ball in september 2013 we cant stop was additionally promoted with a highly controversial performance during the 2013 mtv video music awards"
wrecking ball,miley cyrus,"wrecking ball is a song recorded by american singer miley cyrus for her fourth studio album bangerz 2013 it was released on august 25 2013 by rca records as the albums second single the song was written by mozella stephan moccio sacha skarbek kiyanu kim lukasz gottwald and henry russell walter production was helmed by the last two wrecking ball is a pop ballad which lyrically discusses the deterioration of a relationship
wrecking ball debuted on the us billboard hot 100 at number 50 and later became cyrus first numberone single in the united states after the release of its controversial music video it retained the peak position during the following week nine weeks later the track returned to number one and consequently had the largest gap between numberone sittings in billboard hot 100 history as of january 2014 wrecking ball has sold three million copies in the united states internationally the song charted strongly it topped the charts in canada spain and the united kingdom and charted in the top ten throughout much of europe and oceania
an accompanying music video for wrecking ball was released on september 9 2013 it featured closeup scenes of cyrus tearfully singing reminiscent of the clip for nothing compares 2 u by sinéad oconnor interspersed with footage of a nude cyrus swinging on a wrecking ball critics were divided in their opinions of the music video feeling that it was more provocative than the clip for her previous single we cant stop wrecking ball previously held the vevo record for the most views in the first 24 hours after its release with 193 million views at the 2013 mtv europe music awards cyrus took home the award for best video and the award for video of the year at the 2014 mtv video music awards adding to the videos success cyrus won the award for worlds best video at the 2014 world music awards in monte carlo cyrus has performed wrecking ball during several live performances including the iheartradio music festival and an episode of saturday night live"
wake me up,avicii,"wake me up is a song by swedish dj and record producer avicii released as the lead single from his debut studio album true released on cd and cassette by prmd music lava records and sony musics columbia records on 17 june 2013 wake me up was written by avicii mike einziger and aloe blacc american soul singer aloe blacc provides vocals for the track and mike einziger of incubus provides acoustic guitar avicii introduced wake me up for the first time live on stage at the ultra music festival in miami the experimental rendering it was accompanied by a live band with instruments and vocalists including blacc einziger and incubus members ben kenney on bass and josé pasillas on drums reportedly confused and angered a section of the electronic dance festival community subsequently avicii achieved critical and commercial success with the release of the single worldwide
wake me up peaked at number one in much of europe and charted well in various countries the song has been described as a summer anthem by variance magazine and throughout the 2013 festival season avicii included it as part of the opening or closing sequence of his sets at edc las vegas edc london tomorrowland creamfields electric zoo and the itunes festival due to the success of the song blacc later released an acoustic version of wake me up in his solo ep wake me up it was also released as a promotional standalone single on interscope records made available online for downloads via itunes a separate music video was also made the blacc single also charted in its own right in various charts"
suit  tie,justin timberlake featuring jayz,"suit or suits may refer to
suits us tv series a 2011 series on the usa network
suit clothing a set of garments with matching pieces
suit cards one of four groups into which a deck of cards is divided
lawsuit an action brought before a court to recover a right or redress a grievance
suits south korean tv series a remake of the us series
suits film a 1999 american comedy film
suit album a 2004 album by nelly
suits album a 1994 album by fish
suit a marvel comics character"
holy grail,jay z featuring justin timberlake,"holy grail is a song by american hip hop artist jayz from his twelfth studio album magna carta holy grail it features vocals from american singer justin timberlake and serves as the albums first single it was produced by thedream timbaland and jroc with additional production from no id and contains elements of nirvanas 1991 hit single smells like teen spirit following the release of the album the song charted in many regions entering at number eight and reaching number four on the us billboard hot 100 as well as charting at number seven on the uk singles chart holy grail has sold over 34 million copies in the united states as of 2018
holy grail won the grammy award for best rapsung collaboration at the 56th grammy awards in 2014 billboard placed it at number 25 on their list of top 100 hot rap songs of all time"
clarity,zedd featuring foxes,"clarity is a song by russiangerman electronic dance music producer zedd featuring the vocals of british singer foxes it serves as the third single from his debut studio album of the same name the song was written by zedd matthew koma porter robinson and skylar grey and released as itunes single of the week on october 2 2012 and as an ep on february 12 2013 by interscope records zedd has released an extended mix of the song exclusively on beatport on november 12 2012
when zedd listened to foxes song youth he skyped her and asked her to be the vocalist on clarity after foxes did research on wikipedia about zedd she accepted the offer in june 2014 following the success of stay the night featuring hayley williams in the united kingdom clarity was rereleased there and this time reached a better peak of number 27 compared to the previous one of 29 in 2013 it ended up being awarded silver certification by the bpi following the intake of streaming into official charts data in the uk
the extended play of the track was released on february 18 2013 it features ten remixes including tiësto headhunterz and funkagenda among others from december 2012 to february 4 2013 zedd hosted a remix contest for the track there were 982 official entries the winning remix by tom budin is due to be featured on an upcoming zedd release
clarity won the grammy award for best dance recording at the 56th grammy awards becoming their first win"
sail,awolnation,"sail is a song by american rock band awolnation it was released as a single on november 8 2010 the song was first featured on the bands debut extended play back from earth 2010 and was later featured on their debut album megalithic symphony 2011 the song was written and produced in venice california by group member aaron bruno with kenny carkeet performing the audio engineering
sail is the bands most commercially successful song to date it debuted at number 89 on the united states billboard hot 100 chart in september 2011 spending 20 weeks on the chart before dropping out the single reentered the hot 100 a year later becoming a massive sleeper hit and reaching a new peak of number 17 sail is the first song to climb to its peak after a year on the hot 100 it has spent the second longest time inside the billboard hot 100 chart with 79 weeks only surpassed by imagine dragons radioactive"
dont you worry child,swedish house mafia featuring john martin,dont you worry child is the sixth and final single released by swedish house music supergroup swedish house mafia until their reunion it is the last single from their second studio album until now featuring vocals from swedish singer john martin in the united states it is the acts second numberone single on billboards dancemix show airplay chart following save the world it received a grammy nomination for best dance recording in the 2013 grammy awards as did its predecessor save the world the previous year the song is written in the key of b minor
diamonds,rihanna,"diamonds is a song recorded by barbadian singer rihanna for her seventh studio album unapologetic 2012 it was written by sia furler together with its producers benny blanco and stargate the song premiered on september 26 2012 during the elvis duran and the morning show and was digitally released the following day as the lead single from unapologetic def jam recordings serviced the single to contemporary hit radio in the united states on october 2 diamonds is a midtempo pop electronic and rb ballad that features heavy synthesizers orchestral sounds and electronic rhythms the songs lyrics serve as a departure from the themes of unhealthy relationships that were on rihannas previous singles and contain a prominent concept of love
diamonds topped music charts in over twenty countries including the united states where it became rihannas twelfth number one single on the billboard hot 100 and tied her with madonna and the supremes for the fifthmost number one singles in the charts history diamonds was certified quintuple platinum by the recording industry association of america riaa and sold over 35 million digital copies in the country by may 2013 it had sold over 75 million copies worldwide and became one of the bestselling singles of alltime
the songs music video was shot by director anthony mandler a frequent collaborator of rihannas and depicts her in four environments that represent the elements of earth air water and fire the video received positive reviews and was praised for its imagery some critics believe that the heavily tattooed man intertwined with rihannas arm in the video resembles chris brown the singer performed diamonds on television shows such as saturday night live and the x factor and included it on the 777 diamonds monster tour and the anti world tour set lists the american society of composers authors and publishers ascap recognized it as one of the most performed songs of 2013 and 2014 the official remix of diamonds featured rapper kanye west and was released on november 16 2012 the song has been covered by various recording artists including josef salvat who released his own cover of diamonds as a single"
i love it,icona pop featuring charli xcx,"i love it is a song by swedish dj duo icona pop featuring vocals from british recording artist charli xcx it was released in may 2012 as a digital download in sweden where it peaked at number two on the singles chart the song was added to their debut studio album icona pop as well as their ep iconic and their debut international album this is icona pop
the song received positive reviews from music critics and publications rolling stone and pitchfork included it on their yearend lists for 2012 the song went on to become icona pop and charli xcxs first us hit peaking at number seven on the billboard hot 100 and was certified doubleplatinum by the recording industry association of america denoting over 2 million copies sold in the united states in june 2013 over a year after it was released elsewhere the song charted at number 1 on the uk singles chart it has gone on to sell 43 million certified downloads"
safe and sound,capital cities,safe and sound is a song by american indie pop duo capital cities written and produced by band members ryan merchant and sebu simonian the song was released as a single on january 6 2011 and first appeared on their debut ep capital cities 2011 later serving as the lead single from their debut studio album in a tidal wave of mystery 2013 safe and sound became the duos breakout hit peaking at number eight on the united states billboard hot 100 and achieving commercial success in several other territories three music videos were produced for the single with the third video directed by grady hall and set in the los angeles theatre later being nominated for best music video at the 56th annual grammy awards
treasure,bruno mars,"treasure is a song recorded by bruno mars for his second studio album titled unorthodox jukebox 2012 it is inspired by breakbots song baby im yours treasure was written by mars himself along with philip lawrence ari levine and phredley brown while production was handled by mars lawrence and levine under the name the smeezingtons the song is the albums fourth track and was selected as its third single by atlantic records treasure was first released to mainstream radio in italy on may 10 2013 through warner music the track details mars band time of party and fun philip lawrence described it as the kind of song where the whole band can get up and jam it is a disco funk soul and postdisco song with rb elements
treasure became mars seventh top 10 hit in the united states since his career began in 2010 it has also reached the topfive in countries like canada israel and south africa treasure ranked within the top 20 in eight territories it received media attention for its funk vibe that a few artists have brought back including mars due to the similarities shared with baby im yours by breakbot new writing credits were added
the single was certified threetimes platinum by the recording industry association of america riaa in october 2013 representing sales of two million copies since the certifications for digital singles include ondemand audio andor video song streams in addition to downloads an accompanying music video for the song premiered on june 14 2013 it was shot by cameron duddy and bruno mars in las vegas hollywood the video presents mars band the hooligans in a live performance the single was performed on the moonshine jungle tour 2013–14 and on the 24k magic world tour 2017–18"
the way,ariana grande featuring mac miller,"the way is a song recorded by american singer ariana grande for her debut studio album yours truly 2013 it was written by the songs producer harmony samuels alongside amber streeter al sherrod lambert jordin sparks brenda russell and mac miller who is featured in the song the way was released on march 25 2013 by republic records as the lead single from yours truly the songs backing track is based on the piano melody from russells 1979 song a little bit of love and the song has melodic and lyrical similarities to big puns 1998 song still not a player which also samples a little bit of love
in the united states the song debuted at no 10 and peaked at no 9 on us billboard hot 100 becoming grande and millers first top ten song on the chart this made grande the first top 10 arrival for a lead female artist making her first hot 100 appearance since yael naim who launched with new soul back in 2008 as of april 2018 the way has sold 24 million copies in the united states and has been certified triple platinum"
started from the bottom,drake,started from the bottom is a song by canadian hip hop recording artist drake released as the first single from his third studio album nothing was the same the song was written by drake michael coleman and noah 40 shebib and it was produced by coleman under his stage name mike zombie with additional production by shebib it features a sample of the ambient piece ambessence piano  drones 1 by bruno sanfilippo and mathias grassow started from the bottom has charted in many countries reaching a peak of number six on the billboard hot 100
come  get it,selena gomez,"come may refer to
comè a city and commune in benin"
hold on were going home,drake featuring majid jordan,"hold on were going home is a song by canadian recording artist drake featuring the rb group majid jordan the song was produced by ovo sounds majid jordan nineteen85 and noah 40 shebib it is the second single from his third studio album nothing was the same and was released for digital download on august 7 2013 following the 2013 ovo fest it was later released to mainstream and rhythmic contemporary radio on august 13 2013
the song peaked at number four on the us billboard hot 100 and the uk singles chart as well as number five on the singles chart in his native canada the song received positive reviews from music critics and was named the best song of 2013 by pitchfork media as well as number 10 on its best tracks of the decade list"
daylight,maroon 5,"daylight is a song performed by american pop rock band maroon 5 the song was released as the third single from their fourth studio album overexposed 2012 lead singer adam levine cowrote and coproduced it with max martin and mason mdl levy with additional writing from sam martin the song is a soft rock ballad about realizing that one has to move on from an old relationship but not fully wanting to leave just yet
the song received a mixed reception from music critics some criticized levines vocals and called it a filler among the danceoriented tracks on the album while others felt a coldplay inspiration in the end of the chorus the song has charted in many countries reaching the toptwenty in australia canada new zealand south korea and the united states"
feel this moment,pitbull featuring christina aguilera,"feel this moment is a song by the american rapper pitbull the recording of which features the american singer christina aguilera it is taken from pitbulls seventh studio album global warming which he released in 2012 the song was released on february 22 2013 as the fourth single from the album by mr 305 polo grounds music and rca records it is a dancepop number that talks about stopping to take a moment to appreciate life feel this moment was written by nasri atweh chantal kreviazuk adam messinger sir nolan dj buddha pitbull and aguilera while production was handled by adam messinger sir nolan nasri atweh and dj buddha the song is based on take on me by aha written and composed by morten harket paul waaktaarsavoy and magne furuholmen
feel this moment received generally favorable reviews from music critics who praised aguileras appearance and the sample used on the song and some of whom compared the songs theme to songs by ludacris david guetta usher and kesha the single was a commercial success reaching the top ten of the charts in many countries including australia canada switzerland and the united kingdom in the united states it peaked at number eight on the billboard hot 100 and was eventually certified platinum for shipments of one million units it garnered multiple certifications in many regions including by the australian recording industry association and the british phonographic industry
an accompanying music video for feel this moment was directed by david rousseau and was released on march 15 2013 the video was shot in a black and white scene featuring several shots from pitbulls planet pit world tour and aguilera with big curly hair the clip garnered positive feedback who praised aguileras new figure in it at the 2013 mtv video music awards the video was nominated for best collaboration the duo performed feel this moment on a number of occasions including at the 2012 american music awards 2013 kids choice awards and the 2013 billboard music awards in this last morten harket himself the leadsinger of aha was featured as a guest star"
applause,lady gaga,"applause is a song by american singer lady gaga from her third studio album artpop 2013 it was released as the albums lead single through interscope records on august 12 2013 written and produced by gaga dj white shadow dino zisis and nick monson additional songwriters included martin bresso nicolas mercier julien arias and william grigahcine applause was inspired by the cheering of her fans which kept her motivated during the months she toured with the born this way ball in pain before cancelling it due to a hip injury it is an electropop and eurodance song built around synthesizers and hinrg beats with lyrics addressing how gaga is dependent upon her fans adoration and how she lives to perform
the song received generally positive reviews from music critics who felt its chorus was catchy and favorably compared it to the material featured on gagas debut album the fame 2008 applause achieved commercial success in a number of nations topping the charts in hungary lebanon south korea and spain while peaking within the top 10 in belgium bulgaria canada finland france germany ireland israel italy japan new zealand norway poland scotland the united kingdom and the united states as well as the top 20 in australia the czech republic the netherlands slovakia and sweden it was also certified multiplatinum in canada sweden the united states and venezuela
an accompanying music video directed by fashion photography duo inez and vinoodh was released on august 19 2013 and broadcast on jumbotrons across times square the video received positive reviews from critics who saw it as a profile of gaga herself and noted references to german expressionist cinema and andy warhol to promote the record gaga opened the 2013 mtv video music awards with a performance of the song in which she represented her career through several onstage wardrobe changes she also performed it live on good morning america saturday night live her residency show at roseland ballroom and on her tours artrave the artpop ball and the joanne world tour"
one more night,maroon 5,"one more night is a song performed by american pop rock band maroon 5 the song was released on june 19 2012 as the second single from their fourth studio album overexposed 2012 it was written by adam levine shellback max martin and savan kotecha while production was handled by shellback and martin it is a reggaeinfluenced pop song lyrically it talks about not getting along with someone and hoping he only stays with her just one more night it is built upon the idea that the heart mind and body usually want opposing things
the song received mixed to positive reviews from music critics most of them complimented the reggae influence on the track levines vocals and labeled it a summer catchy song however some critics perceived a lack of identity and criticized the songs melody the song spent nine consecutive weeks at number one on the billboard hot 100 the song has also been a success on the australian singles chart and on the canadian hot 100 reaching number two and topping the new zealand singles chart and the south korean gaon international chart the song has sold 69 million copies becoming the 8th best selling song worldwide in 2012
a music video directed by peter berg was released on june 25 2012 in the video levine becomes a boxer working to support his girlfriend and baby daughter as he spends time training for a big fight he struggles to stay close to his girlfriend while raising their child together though levine appears determined his girlfriend seems troubled by his bloody profession and financial stability for their daughter and leaves him in the end the band performed the song for the first time on the today show concert series on june 29 2012 also performing the song on late show with david letterman and their overexposed tour 2012–2014
the song was featured in arrow and dancing with the stars"
love me,lil wayne featuring drake and future,"love me is a song by american rapper lil wayne featuring drake and future for his tenth studio album i am not a human being ii it was released on january 18 2013 by young money entertainment cash money records and republic records as the third single from the project the song was produced by mike will made it with songwriting by lil wayne drake future and asheton hogan it also appeared for free download on the rich gang mixtape rich gang allstars
the song became a top ten hit peaking at number nine on the us billboard hot 100 and becoming lil waynes 18th top ten single on that chart it also became futures first top 10 hit and most successful single until mask off which peaked at number five on the billboard hot 100 in may 2017"
my songs know what you did in the dark light em up,fall out boy,"my songs know what you did in the dark light em up is a song by american rock band fall out boy released as the lead single for the bands fifth studio album save rock and roll it serves as the bands first single following the groups threeyear hiatus and regrouping in early 2013 the track and its music video were released on february 4 2013 worldwide and february 5 2013 in north america to coincide with the official news of the bands reformation the song impacted radio on february 19 2013 the band members felt that the song best represented their album at its core
the songs title and principal lyric originate from an unrelated 2004 demo by the band fall out boy performed my songs know what you did in the dark light em up on jimmy kimmel live for the groups first posthiatus tv performance on february 13 as well as on various tv shows throughout the entire year and have extensively played it in acoustic version at radio interviews lead vocalist and guitarist patrick stump performed the song as a guest on taylor swifts red tour on july 13 2013 and swift guested in turn with fall out boy on victorias secret fashion show on november 13 2013 the song became a staple at several sportsbroadcasting soundtracks that year
the music video is part one of the young blood chronicles a series in which a video was eventually recorded for every song on save rock and roll as part of a narrative my songs know what you did in the dark light em up was a comeback success reaching the two million digital downloads mark in july 2013 being the fourth song by fall out boy to do so and was certified 3x platinum by the end of the year it was named by bbc radio 1 as one of the top 100 tracks of the past 5 years and no 1 on sirius xm hits 1s best of 2013 countdown it reached the top 10 on both pop songs and alternative songs with heavy airplay and peaked at no 13 on the billboard hot 100 with twelve consecutive weeks in the top 20"
fuckin problems,asap rocky featuring drake 2 chainz and kendrick lamar,"fuckin problems edited version titled as fkin problems and problems is a song by american hip hop recording artists asap rocky 2 chainz and kendrick lamar with canadian rapper drake it was released on october 24 2012 as the second single from rockys debut studio album long live asap 2013 and was later released to radio on november 27 2012
noah 40 shebib assisted the artists in writing the song and also serves as coproducer alongside drake who uses the pseudonym c papi static major receives posthumous songwriting credits for the sampling of his unreleased composition for aaliyah entitled quit hatin though uncredited the song also interpolates ol dirty bastards shimmy shimmy ya"
beauty and a beat,justin bieber featuring nicki minaj,"beauty and a beat is a song by canadian singer justin bieber from his third studio album believe 2012 it features trinidadian rapper nicki minaj who cowrote it with savan kotecha max martin and zedd it was also produced by the latter two with a heavy drum machine and rushing synthesizers lyrically it speaks about bieber wanting to take his love interest to a club where they can party like its 3012 it is the only song from believe that bieber did not cowrite the song became the third official single from the album
following the release of believe beauty and a beat debuted on the us billboard hot 100 at 72 due to strong digital downloads after the release of the songs music video it reentered the hot 100 at number 72 and peaked at 5 it also debuted on the canadian hot 100 at 47"
same love,macklemore and ryan lewis featuring mary lambert,"same love is a song by american hip hop duo macklemore  ryan lewis released as the third single from their 2012 debut studio album the heist the track featuring vocals by seattlebased singer mary lambert talks about the issue of gay and lesbian rights and was recorded during the campaign for washington referendum 74 which upon approval in 2012 legalized samesex marriage in washington state the song reached number 11 on the billboard hot 100 in the united states and reached number 1 in both australia and new zealand the song was nominated at the 56th annual grammy awards for song of the year
the cover artwork for the single shows a photograph of macklemores uncle john haggerty and his husband sean
the song was featured as a part of youtubes pride week the video has over 193 million views on youtube as of march 2018"
sweet nothing,calvin harris featuring florence welch,"sweet nothing is a song by scottish recording artist and record producer calvin harris from his third studio album 18 months 2012 it features vocals from florence and the machine singer florence welch harris previously worked with the band in a remix of their single spectrum 2012 while recording 18 months harris expressed interest in working with welch he mentioned that it was not easy and he had to chase her due to schedule conflicts welch accepted his invitation and the two recorded sweet nothing the track premiered on the chris moyles show on bbc radio 1 on 28 august 2012 and was later released as the fifth single from the album on 12 october 2012
sweet nothing is an electronic dance music song with heartfelt vocals and an escalating beat lyrically it talks about a romance with no depth where the protagonist is receiving sweet nothing sweet nothing received favourable reviews with many critics praising its production and welchs vocals the song debuted at number one on the uk singles chart marking harris first numberone single as a main artist in the united kingdom since his 2009 single im not alone the song is also welchs first topten hit in the united states peaking at number 10 sweet nothing was nominated for best dance recording at the 56th grammy awards
the music video for the song directed by vincent haycock premiered on 20 september 2012 in the video welch works as a singer at a bar or club pouring the pain and frustration of her unfulfilled life and abusive relationship into every revealing and explosive performance however after recognising the benefits of her seedy environment she plots to rid herself of her boyfriend"
summertime sadness,lana del rey and cedric gervais,"summertime sadness is a song by american singer and songwriter lana del rey from her second studio album born to die 2012 the trip hop ballad was released on june 22 2012 by interscope records as the fourth single of the album charting across europe the single reached the top ten in austria bulgaria germany greece luxembourg and switzerland in the spring of 2013 summertime sadness reached number one in poland ukraine and armenia trap and house remixes of summertime sadness helped del rey break into the us hot dance club songs chart that chart is where del reys song became a modest hit and marked her first foray into the chart on the accompanied dancemix show airplay chart the single gave del rey her first us numberone single in august 2013 earlier in 2012 the song also managed to become a rock hit in the us
in the summer of 2013 a remixed version of the track by cedric gervais was released to american contemporary hit radio and helped the single become a sleeper hit debuting it at 72 on the billboard hot 100 and becoming the highest charting single of her career in that country with a peak of 6 switzerland and austria gave summertime sadness a gold certification it reached platinum status in germany and became a top forty yearend hit the record also reached number 4 in the uk singles chart it joined bbc radio 1s and bbc radio 2s playlists gervais remixed version won a 2014 grammy award for best remixed recording nonclassical
the songs accompanying music video depicts del rey and actress jaime king as a couple as the storyline progresses both characters commit suicide by jumping from perilous heights cinematography was handled primarily by kings husband kyle newman the video gained success on videohosting website youtube and circulated through social media websites such as facebook and twitter in general critics lauded the artistry of the singles music video comparing it to instagram the musical arrangement was composed by del reys longtime collaborators emile haynie and rick nowels with nowels and del rey writing the lyrics the song is also referenced in the chainsmokers hit single selfie"
home,phillip phillips,"home is the debut single and coronation song from american idol season 11 winner phillip phillips the song was cowritten by drew pearson and greg holden and produced by drew pearson phillips first performed the song on the seasons final performance night on may 22 2012 and then again on the finale after he was declared the winner his recording of home was released as a single on may 23 2012 and included as a track on the compilations american idol season finale  season 11 ep and journey to the finale released at the same time the song was also included on his debut album the world from the side of the moon released later in november that year
the single debuted at no 10 on the billboard hot 100 with a first week sales figure of 278000 downloads it has the biggest digital sales week for any idol winners coronation song and it became the best selling of all coronation songs as well as the bestselling song by any idol alum in the united states it has sold over 5 million copies in the united states"
