Rank,Song,Artist,Year,Lyrics
70,angel eyes,the jeff healey band,1989,girl youre lookin so good tonight and every guy has got you in his sights what youre doin with a clown like me you know ive been called worse its got to be one of lifes little mysteries so tonight ill ask the stars above how did i ever win your love yeah what did i do what did i say to turn your angel eyes my way you know im the guy who never learned to dance never even got one second glance i never saw a second glance way across a crowded room was close enough i could look but i could never touch so tonight ill ask the stars above yeah baby how did i ever win your love what did i do what did i say to turn your angel eyes my way dont anyone wake me if its just a dream cause shes the best thing thats ever happened to me all you fellows you can stare at her all you like but this girl that you see shes leavin here with me tonight theres just one more little thing that i need to know if this is love why does it scare me so well it must be somethin that only you can see cause i can feel it baby when you look at me so tonight ill ask all the stars above how did i ever win your love what did i do what did i say to turn your angel eyes my way turn my way
71,patience,guns n roses,1989, one two one two three fourshed a tear cause im missin you im still alright to smile girl i think about you every day now was a time when i wasnt sure but you set my mind at ease there is no doubt youre in my heart nowsaid woman take it slow and itll work itself out fine all we need is just a little patience said sugar make it slow and well come together fine all we need is just a little patience patience mm yeahi sit here on the stairs cause id rather be alone if i cant have you right now ill wait dear sometimes i get so tense but i cant speed up the time but you know love theres one more thing to considersaid woman take it slow and things will be just fine you and ill just use a little patience said sugar take the time cause the lights are shining bright you and ive got what it takes to make it we wont fake it ill never break it cause i cant take itlittle patience mm yeah mm yeah need a little patience yeah just a little patience yeah some more patience yeah ive been walking the streets at night just trying to get it right a little patience yeah its hard to see with so many around you know i dont like being stuck in the crowd could use some patience yeah and the streets dont change but maybe the names i aint got time for the game cause i need you gotta have more patience yeah yeah yeah but i need you all need some patience ooh i need you whoa i need you just a little patience is all you need ooh this time ah 
72,walk on water,eddie money,1989, well if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is so truenananana nanananana nananana nanananana nana nana nana nananana nananana nananana nanawell im no angel now ill admit i made a few bad moves that i should regret i hurt you once  or so you said just one more chance is all you getdidnt mean to do you wrong again worse things have been done by better men baby baby  dont dont treat me this way i know yes ive got to pay now  im still playingwell if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is truenananananananana ohwell all year long i told you lies to err is human forgive is divine dont be a fool dont settle the score cause i cant take it no more i cant take itwell if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is truewell if i could walk on water if i could is that what im gonna have to do if i could walk on water would you believe in me my love is so truenananana nanananana nananana nanananana nananana nananana nananana nana do i have to walk walk walk on water for youhey baby baby theres a little time lets spend it together well get over what we left behind theres a future together yeah well lets stay togetherooh yeah i keep walking and walking and walking for you  for youwell if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is truenananana nanananana if i were to walk now nananana nanananana if i were to walk walk walk nananana nananana nananana nana do i have to walk on water walk on water for younananana nanananana do i have to walk on water nananana nanananana do i have to find some way to prove nananana nananana nananana nana do i have to walk on water walk on water for younananana nanananana do i have to walk on water nananana nanananana do i have to find some way to prove 
73,cover girl,new kids on the block,1989, i get up in the morning and i see your face girl youre looking so good everythings in place dont you know i could never leave your side girl wont you stay here with me and be my bridedont you know youre my kind youre just what i like girl youre everything dont you know youre alright the only girl ive always needed for so longoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohwhen i look through the pages of a magazine still your pretty face is the prettiest ive seen dont you know i only want to be with you no other girl could make me feel the way you doyoure my everythingoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohbase its alright oh yeah its out of sight let me say its alright ahh yeahdont you know i only want to be with you no other girl could make me feel the way you doyoure my everythingoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohoh oh oh shes my shes my cover girl oh yeah cover girl sweet sexy thing oh yeah cover girl oh oh oh cover girl oh oh oh 
74,welcome to the jungle,guns n roses,1989, welcome to the jungle weve got fun and games we got everything you want honey we know the names we are the people that can find whatever you may need if you got the money honey we got your diseasein the jungle welcome to the jungle watch it bring you to your knnn knne knees knees i want to watch you bleed    meaning  byamandah   editor    welcome to the jungle was named the greatest rock song of all time by vh1 in 2009    see all   welcome to the jungle we take it day by day if you want it youre gonna bleed but its the price to pay and youre a very sexy girl thats very hard to please you can taste the bright lights but you wont get there for free in the jungle welcome to the jungle feel my my my serpentine ooh i want to hear you screamwelcome to the jungle it gets worse here every day ya learn to live like an animal in the jungle where we play if you hunger for what you see youll take it eventually you can have everything you want but you better not take it from mein the jungle welcome to the jungle watch it bring you to your knnn knne knees knees i want to watch you bleedand when youre high you never ever want to come down so down so down so down yeahyou know where you are youre down in the jungle baby youre gonna dieee in the jungle welcome to the jungle watch it bring you to your knees knees in the jungle welcome to the jungle feel my my my serpentine in the jungle welcome to the jungle watch it bring you to your knees knees in the jungle welcome to the jungle watch it bring you to you its gonna bring you down ha 
75,shower me with your love,surface,1989, my heart is filled with so much love and i need someone i can call my own to fall in love thats what everyones dreaming of i hold this feeling oh so stronglife is too short to live alone without someone to call my own i will care for you you will care for me our love will live forevershower me with your love shower me with the love that i long for shower me with your love shower me with the love ive been waiting fori close my eyes and pray all my wishes come true every night i go to sleep until youre mine ill wait for you endlessly cant you seefairy tales they do sometimes come true if you believe it could happen to you like the stars that shine way up in the sky our love will live forevershower me with your love shower me with the love that i long for shower me with your love shower me with the love ive been waiting forlike the stars that shine way up in the sky our love will live forever live forevershower me with your love shower me with the love that i long for shower me with your love shower me with the love ive been waiting forshower me with your love shower me with the love ive been waiting for 
76,stand,rem,1989, stand in the place where you live now face north think about direction wonder why you havent before now stand in the place where you work now face west think about the place where you live wonder why you havent beforeif you are confused check with the sun carry a compass to help you along your feet are going to be on the ground your head is there to move you aroundso stand in the place where you live now face north think about direction wonder why you havent before now stand in the place where you work now face west think about the place where you live wonder why you havent beforeyour feet are going to be on the ground your head is there to move you around if wishes were trees the trees would be falling listen to reason season is callingstand in the place where you live now face north think about direction wonder why you havent before now stand in the place where you work now face west think about the place where you live wonder why you havent beforeif wishes were trees the trees would be falling listen to reason reason is calling your feet are going to be on the ground your head is there to move you aroundso stand stand now face north think about direction wonder why you havent before now stand stand now face west think about the place where you live wonder why you haventstand in the place where you live now face north think about direction wonder why you havent before now stand in the place where you work now face west think about the place where you live wonder why you havent beforestand in the place where you are now face north stand in the place where you are now face west your feet are going to be on the ground stand in the place where you are your head is there to move you around so stand tand in the place where you are 
77,close my eyes forever,lita ford and ozzy osbourne,1989, baby i get so scared inside and i dont really understand is it love thats on my mind or is it fantasyheaven is in the palm of my hand and its waiting here for you what am i supposed to do with a childhood tragedyif i close my eyes forever will it all remain unchanged if i close my eyes forever will it all remain the samesometimes its hard to hold on so hard to hold on to my dreams it isnt always what it seems when youre face to face with meyoure like a dagger and stick me in the heart and taste the blood from my blade and when we sleep would you shelter me in your warm and darkened graveif i close my eyes forever will it all remain unchanged if i close my eyes forever will it all remain the samewill you ever take me no i just cant take the pain would you ever trust me no ill never feel the same ohi know ive been so hard on you i know ive told you lies if i could have just one more wish id wipe the cobwebs from my eyesif i close my eyes forever will it all remain unchanged if i close my eyes forever will it all remain the same oh yeahclose your eyes close your eyes you gotta close your eyes for me 
78,all this time,tiffany,1989, all this time i know someday you would need to find something that you left behind something i can not give you all these tears and like a night love disappears but hearts are good for souvenirs and memories are forever all this time all in all i have no regrets the sun still shines the sun still sets and the heart forgives the heart forgets though what will i do now with all this time one more kiss even though it has come to this i will close my eyes and make a wish hoping you will remember all this time all in all i have no regrets the sun still shines the sun still sets and the heart forgives the heart forgets though what will i do now with all this time say goodbye apart we will make another try but do not be sorry if you cry i will be crying too all this day all this time all in all i have no regrets the sun still shines the sun still sets and the heart forgives the heart forgets though what will i do now with all this time what will i do now with all this time 
79,after all,cher and peter cetera,1989, well here we are again i guess it must be fate weve tried it on our own but deep inside weve known wed be back to set things straight i still remember when your kiss was so brand new every memory repeats every step i take retreats every journey always brings me back to youafter all the stops and starts we keep coming back to these two hearts two angels whove been rescued from the fall after all that weve been through it all comes down to me and you i guess its meant to be forever you and me after allwhen love is truly right it lives from year to year it changes as it goes and on the way it grows but it never disappearsafter all the stops and starts we keep coming back to these two hearts two angels whove been rescued from the fall after all that weve been through it all comes down to me and you i guess its meant to be forever you and me after allalways just beyond my touch you know i needed you so much after all what else is living forafter all the stops and starts we keep coming back to these two hearts two angels whove been rescued from the fall after all that weve been through it all comes down to me and you i guess its meant to be forever you and meafter all the stops and starts we keep coming back to these two hearts two angels whove been rescued from the fall after all that weve been through it all comes down to me and you i guess its meant to be forever you and me after all 
80,roni,bobby brown,1989, the truth about a roni shes a sweet little girl you could treat her right real nice and hold her tight only tender ronis can give a special love a special kind of love that makes you feel good insideif you believe in love and all that it can do for you give it a chance girl youll find romance and if you find a tender roni that is right for you make it official give her your lovemy heart ouh belongs to a roni shes my only love shes my only love my only heart baby my heart yeah belongs to a roni shes my only love shes my only lovethe truth about a roni shes always on the phone talking to her homeboy wishing they were home alone shell send you lovely letters with the smell of sweet perfume this is what a real tender roni likes to do for youand if you believe in love and all that it can do for you give it a chance girl youll find romance and if you find a tender roni that is right for you make it official give her your love ooh yeahmy heart belongs to a roni shes my only love shes my only love my only heart my heart belongs to a roni shes my only love shes my only lovethe truth about roni shes a sweet ol girl about the sweetest little girl in the whole wide world shell make the toughest homeboy fall deep in love said once you had a roni you will never give her upshes a special kind of girl that makes her daddy feel proud you know the kinda girl that stands out in crowds found a tender roni and the roni is so right i think im gonna love her for the rest of my lifeif you believe in love and all that it can do for you and if you find a tender roni that is right for you make it official give her your love ooh yeahmy heart belongs to a roni shes my only love shes my only love my only heart my heart belongs to a roni shes my only love shes my only lovethe truth about roni shes a sweet ol girl about the sweetest little girl in the whole wide world shell make the toughest homeboy fall deep in love said once you had a roni you will never give her upshes a special kind of girl that makes her daddy feel proud you know the kinda girl that stands out in crowds found a tender roni and the roni is so right i think im gonna love her for the rest of my lifemy heart belongs to a roni shes my only love my only heart my heart belongs to a roni shes my only love shes my only lovethe truth about roni shes a sweet ol girl about the sweetest little girl in the whole wide world shell make the toughest homeboy fall deep in love said once you had a roni you will never give her upshes a special kind of girl that makes her daddy feel proud you know the kinda girl that stands out in crowds found a tender roni and the roni is so right i think im gonna love her for the rest of my lifemy heart belongs to a roni shes my only love 
81,love in an elevator,aerosmith,1989, workin like a dog fo de boss man workin for de company im bettin on the dice im tossin im gonna have a fantasy but where am i gonna look they tell me that love is blind i really need a girl like an open book to read between the lineschorus love in an elevator livin it up when im goin down love in an elevator lovin it up till i hit the groundjackis in the elevator lingerie second floor she said can i see you later and love you just a little more i kinda hope we get stuck nobody gets out alive she said ill show ya how to fax in the mail room honey and have you home by fivechorusin the air in the air honey one more time not it aint fair love in an elevator lovin it up when im goin downlove in an elevator goin downchorusgonna be a penthouse pauper gonna be a millionaire im gonna be a real fast talker and have me a love affair gotta get my timin right its a test that i gotta pass ill chase you all the way to the stairway honey kiss your sassafraschorusdo you care do you care honey one more time now it aint fair love in an elevator livin it up when im goin down 
82,lay your hands on me,bon jovi,1989, heythey say that to really free your body youve got to free your mind so come on hey hey hey check this out heylay your hands on me lay your hands on me lay your hands on me lay your hands on me lay your hands on me lay your hands on me come onif youre ready im willing and able help me lay my cards out on the table youre mine and im yours for the taking right now the rules weve made are meant for breakingwhat you get aint always what you see but satisfaction is guaranteed they say what you give is always what you need whoa whoa if you want me to lay my hands on youlay your hands on me lay your hands on me lay your hands on me all you gotta do is lay your hands on me lay your hands on me lay your hands on me now listen upim a fighter im a poet im a preacher ive been to school and baby ive been the teacher if you show me how to get up off the ground i can show you how to fly and never ever come back downeverything you want is what i need your satisfaction is uh guaranteed but the ride dont never ever come for free no oh oh if you want me to lay my hands on youlay your hands on me lay your hands on me lay your hands on me all you gotta do is lay your hands on me lay your hands on me lay your hands on menow now now baby dont you know i only aim to please if you want me to lay my hands on you whoa whoa whoawhat you gotta do is lay your hands on me lay on me lay your hands on me come on come on come on lay your hands on me everybody gonna help me now lay your hands on me i can feel the people sing lay your hands on me i can feel my heart sing lay your hands on me if you wanna lay them on baby come on nowwhoa oh oh oh oh whoa oh oh oh oh lay your hands on me if you want me to whoa oh oh oh oh all you got do whoa oh oh oh oh lay your hands on meremember lay your hands on me well move it on lay your hands on me oh turn around yeah lay your hands on me lay lay your hands on me lay your hands on me lay your hands on me 
83,the promise,when in rome,1989, if you need a friend dont look to a stranger you know in the end ill always be thereand when youre in doubt and when youre in danger take a look all around and ill be thereim sorry but im just thinking of the right words to say i promise you i know they dont sound the way i planned them to be i promise you but if you wait around a while ill make you fall for me i promise you i promise i promise you i willwhen your day is through and so is your temper you know what to do im gonna always be theresometimes if i shout its not whats intended these words just come out with no cross to bearim sorry but im just thinking of the right words to say i promise you i know they dont sound the way i planned them to be i promise you but if you wait around a while ill make you fall for me i promise you i promise i promise youim sorry but im just thinking of the right words to say i promise you i know they dont sound the way i planned them to be i promise you and if i had to walk the world id make you fall for me i promise you i promise you i willgotta tell you need to tell you gotta tell you ive gotta tell youim sorry but im just thinking of the right words to say i promise you i know they dont sound the way i planned them to be i promise you but if you wait around a while ill make you fall for me i promise you i promise i promise youim sorry but im just thinking of the right words to say i promise you i know they dont sound the way i planned them to be i promise you and if i had to walk the world id make you fall for me i promise you i promise you i will i will i will 
84,what i am,edie brickell  new bohemians,1989,im not aware of too many things i know what i know if you know what i mean im not aware of too many things i know what i know if you know what i mean philosophy is the talk on a cereal box religion is the smile on a dog im not aware of too many things i know what i know if you know what i mean ddoo yeah choke me in the shallow waters before i get too deep what i am is what i am are you what you are or what what i am is what i am are you what you are or oh im not aware of too many things i know what i know if you know what i mean philosophy is a walk on the slippery rocks religion is a light in the fog im not aware of too many things i know what i know if you know what i mean ddoo yeah choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep what i am is what i am are you what you are or what what i am is what i am are you what you are or what what i am is what i am are you what you are or what you are and what i am is what i am are you what you are or what choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep dont let me get too deep dont let me get too deep dont let me get too deep dont let me get too deep what i am is what i am are you what you are or what what i am is what i am are you what you are or what what i am is what i am are you what you are or what you are and what i am is what i am are you what you are or what
85,i remember holding you,boys club,1989,time will never lose memories we choose choices that weve made for love voices in my head they call me away you were right beside me im in love maybe i should have known it maybe i should have seen but i stayed lost in my dreams now that youre gone chorus i remember holding you feeling felt so right now i find im reaching out in the middle of the night all those things i should have said now my chance is gone all alone im reaching out even though i know its wrong so wrong we will never know what my heart will never show i will keep it all inside somehow when i tried you knew that i lied in my heart i feel untrue maybe i should have known it maybe i should have seen but im still lost in my dreams now that youre gone repeat chorus oh i know i know i know i know its wrong all the times i should have seen everything you meant to me now i only hold you in my dreams repeat chorus i remember holding you i remember holding you i know i know i know i know its wrong i remember holding you i remember holding you i remember holding you feeling felt so right felt so right all those things i should have said oh no no yeah yeah i remember holding you
86,paradise city,guns n roses,1989, take me down to the paradise city where the grass is green and the girls are pretty take me home oh wont you please take me home take me down to the paradise city where the grass is green and the girls are pretty take me home oh wont you please take me homejust a urchin livin under the street im a hard case thats tough to beat im your charity case so buy me something to eat ill pay you at another time take it to the end of the linerags to riches or so they say ya gotta keep pushin for the fortune and fame you know its all a gamble when its just a game ya treat it like a capital crime everybodys doin the time    meaning  byamandah   editor    slashs 2007 autobiography revealed a lot of origin stories about major gnr songsincluding paradise city this was written on their way back to la from    see all   take me down to the paradise city where the grass is green and the girls are pretty oh wont you please take me home take me down to the paradise city where the grass is green and the girls are pretty take me home yeah yeahstrapped in the chair of the citys gas chamber why im here i cant quite remember the surgeon general says its hazardous to breathe id have another cigarette but i cant see tell me who youre gonna believetake me down to the paradise city where the grass is green and the girls are pretty take me home yeah yeah take me down to the paradise city where the grass is green and the girls are pretty oh wont you please take me homeso far away so far away so far away so far awaycaptain americas been torn apart now hes a court jester with a broken heart he said turn me around and take me back to the start i must be losing my mind are you blind ive seen it all a million timestake me down to the paradise city where the grass is green and the girls are pretty take me home yeah yeah take me down to the paradise city where the grass is green and the girls are pretty oh wont you please take me home take me down to the paradise city where the grass is green and the girls are pretty take me home yeah yeah take me down to the paradise city where the grass is green and the girls are pretty oh wont you please take me homei wanna go i wanna go oh wont you please take me home i wanna see how good it can be oh wont you please take me home take me down to the paradise city where the grass is green and the girls are pretty take me home take me down to the paradise city where the grass is green and the girls are pretty oh wont you please take me home take me down lead me round oh wont you please take me homei wanna see what a woman can be i want to take you home take me down to the paradise city where the grass is green and the girls are pretty oh wont you please take me home i wanna go i wanna know oh wont you please take me home 
87,i wanna have some fun,samantha fox,1989, hello its me again dont you know its hard to keep a good woman down but then again maybe that could be fun sasasamantha foxaint it funny how when i say lets go out youre always saying someone else will get me whats a girl to do i like to have fun too but youre so jealous you never let meso how come you can leave but when it comes to me always something i must prove you know i love you always thinking of you but tonight ive got to make that movei wanna have some fun move my body all night long i wanna have some fun move my body all night longworking 9 to 5 each and every day what your momma used to say all work no play i know what to do i think ill call my crew of course i love you but naughty girls need fun toocould it be that i make you feel guilty why is there something i cant see no i just dont buy it so dont even try it ive got to go in the place to bei wanna have some fun move my body all night long working hard every day so i aint staying home no wayi need it i want it got to flaunt itim not a prisoner cant you see unlock the door so i can breathe whenever it comes to you my dear i say stay with me but you still go so now i learn its my turni want you to stay here with me you can have fun with me with you yeah with me come on i can have loads of fun without you without me yeah 
88,she wants to dance with me,rick astley,1989, she wants to dance she wants to dance with me oh yeahtheres a girl ive been waiting to see and i really get the feeling that she likes me cos she said so but not in so many words ive got to tell you what ive heardshe dont want no wild romance when shes with me she only wants to danceshe wants to dance with me cos ill hold her so tight next to me she wants to dance with me cos ill let her be what she wants to benow i know ive been out of touch and i never meant to hurt my baby oh so much cos i love her and i think she love me and thats the way its got to bewhen were together we never fight weve got better things to do tonightshe wants to dance with me cos ill hold her so tight next to me she wants to dance with me cos ill let her be what she wants to beshe wants to dance she wants to danceshe wants to dance with me cos ill hold her so tight next to me she wants to dance with me cos ill let her be what she wants to be  
89,dreamin,vanessa williams,1989, now im living in the middle of a dream a dream with a little bit of fantasydreamin dreamin dreamin dreaminfor the life of me i never thought that it could be the way it stands right now emotions running high every night i wish that i i would tell you how i feelthose words are here in my heart oh but there is just one missing part how to put it together how to say it right and let you know that every nightill be dreamin dreamin hopin baby you will be there ill be dreamin dreamin hopin baby you will be therelet me take time out to try and find out if this could be real cause reality scares me ive been living a fantasy how should i feelthose words are here in my heart oh but there is just one missing part how to put it together how to say it right and let you know that every nightill be dreamin dreamin hopin baby you will be there ill be dreamin dreamin hopin baby you will be therethose words are here in my heart but there is just one missing part how to put it together how to say it right and let you know that every nightill be dreamin ill be dreamin ill be dreamin ill be dreamin i keep on dreamin bout you every night im dreamin bout you every night make you all minenow im living in the middle of a dream a dream with a little bit of fantasy now im living in the middle of a dream a dream with a little bit of fantasy i wanna dream till i make you minenow im living in the middle of a dream a dream with a little bit of fantasy hopin baby hopin baby you will be there now im living in the middle of a dream a dream with a little bit of fantasy i wanna dream till i make you minenow im living in the middle of a dream a dream with a little bit of fantasy 
90,its no crime,babyface,1989, i never thought that i could feel this way you came around and brought about a change in mei was a typical guy you came along and blew my mind you were runnin fast i was runnin slow everybody said that it would not worklove came and set me free you were standing there to rescue me love caught it we thought why cant we be in love wellwhy its no crime if im guilty of love let me do my time why its no crime everybody needs love and babyyou never thought love came so easily no doubt about it never in your dreams no wayyou were a typical girl you came along and changed my world i walk slow you walk fast everybody said that it could not lastlove came inside of me never knew how good our love could be love caught it we thought why cant we be in lovewhy its no crime if im guilty of love let me do my time well why its no crime everybody needs love and babyive spent half a lifetime waiting for someone you say i know it was you they dont recommend it i dont understand it ive been reprimanded cause im in love with youyou were a typical girl you came along and changed my world i walk slow you walk fast and everybody said that it could not lastlove came inside of me never knew how good our love could be love caught it we thought why cant we be in love oh why whyso do i so do i so do i so do iwhy its no crime if im guilty of love let me do my time why its no crime everybody needs love and baby why 
91,poison,alice cooper,1989, your a cruel device your blood like ice one look could kill my pain your thrilli wanna love you but i better not touch dont touch i wanna hold you but my senses tell me to stop i wanna kiss you but i want it too much too much i wanna taste you but your lips are venomous poison youre poison running through my veins youre poison i dont wanna break these chainsyour mouth so hot your web im caught your skin so wet black lace on sweati hear you calling and its needles and pins and pins i wanna hurt you just to hear you screaming my name dont wanna touch you but youre under my skin deep in i wanna kiss you but your lips are venomous poison youre poison running through my veins youre poison i dont wanna break these chains poisonone look one look could kill could kill my pain your thrilli wanna love you but i better not touch dont touch i wanna hold you but my senses tell me to stop i wanna kiss you but i want it too much too much i wanna taste you but your lips are venomous poison youre poison running through my veins youre poison i dont wanna break these chains poison poisoni wanna love you but i better not touch dont touch i wanna hold you but my senses tell me to stop i wanna kiss you but i want it too much too much i wanna taste you but your lips are venomous poison yeah well i dont wanna break these chains poison poison runnin deep inside my veinsburnin deep inside my brain poison poison i dont wanna break these chains poison poison poison i dont wanna break these chains 
92,this time i know its for real,donna summer,1989, what would i have to do to get you to notice me too do i stand in line one of a million admiring eyeswalk a tightrope way up high write your name across the skyim going crazy just to let you know youd be amazed how much i love you so baby when i get my hands on you i wont let go this time i know its for realshould i write or call your home shout it out with a megaphone radio tv news got to find a way to get the message to youto say i love you with a neon sign anything to make you mineim going crazy just to let you know if i wait too long for you i might explode oh baby ive been around the block enough to know this time i know its for realooo baby this time this time this time this time oh baby this time this time oh babywalk a tightrope way up high write your name across the skyim going crazy just to let you know youd be amazed how much i love you so oh baby when i get my hands on you i wont let go this time i know its for realim going crazy just to let you know if i wait too long for you i might explode oh baby ive been around the block enough to know this time i know its for real 
93,smooth criminal,michael jackson,1989, as he came into the window it was the sound of a crescendo he came into her apartment he left the bloodstains on the carpet she ran underneath the table he could see she was unable so she ran into the bedroom she was struck down it was her doomannie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annieannie are you ok will you tell us that youre ok theres a sign in the window that he struck you  a crescendo annie he came into your apartment he left the bloodstains on the carpet then you ran into the bedroom you were struck down it was your doomannie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie youve been hit by youve been hit by a smooth criminalso they came into the outway it was sunday  what a black day mouth to mouth resuscitation sounding heartbeats  intimidationannie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annie annie are you ok so annie are you ok are you ok annieannie are you ok will you tell us that youre ok theres a sign in the window that he struck you  a crescendo annie he came into your apartment left the bloodstains on the carpet then you ran into the bedroom you were struck down it was your doomannie are you ok so annie are you ok are you ok annie youve been hit by youve been struck by a smooth criminalokay i want everybody to clear the area right nowaaow annie are you ok i dont know will you tell us that youre ok i dont know theres a sign in the window i dont know that he struck you  a crescendo annie i dont know he came into your apartment i dont know left the bloodstains on the carpet i dont know why baby then you ran into the bedroom i dont know you were struck down it was your doom  annieannie are you ok dag gone it  baby will you tell us that youre ok dag gone it  baby theres a sign in the window dag gone it  baby that he struck you  a crescendo annie hoo hoo he came into your apartment dag gone it left the bloodstains on the carpet hoo hoo hoo then you ran into the bedroom dag gone ityou were struck down it was your doom  annie aaow 
94,heaven help me,deon estus,1989,if you want it you can have it thats what you said but i dont want the things that you leave behind take the pictures take the windows and the walls but baby wont you leave me my peace of mind oh such a waste of time oh such a waste i still want you baby heaven help me heaven help me talk to strangers talk to strangers heaven help me over you help me over you i cant seem to take these changes everything reminds my heart of you thought the first time was the last time of being apart now i find im having to search again itll happen its gotta happen come together i just wish somebody would tell me when oh such a waste of time oh such a waste i still want you baby heaven help heaven help heaven heaven heaven help me heaven help heaven help heaven heaven heaven help me youre someone elses lady so sad without you darlin the gods of love cant help me now heaven help heaven help heaven heaven heaven help me
95,rock witcha,bobby brown,1989, now that you are here with me baby lets do it right lady you know just what i need i want to hold you oh so tight baby just touch me anywhere cutie you turn me on ooh baby i like to run my fingers through your hair so come on and stay with me all nighti wanna rock witcha baby all night long i wanna roll witcha lady feelin so strong i wanna rock witcha baby all night long rockin rollin rollin rock makin sweet lovin dont you ever stophow bout a little music now lets hear some marvin gaye ooh let me rub your shoulders down lets dance the night away feel your heart beating next to mine baby ill make you feel nice i think i can tell whats on your mind i know i can make it righti wanna rock witcha baby girl all night long i wanna roll witcha lady feelin so strong i wanna rock witcha baby all night long rockin rollin rollin rock makin sweet lovin dont you ever stopi wanna rock witcha baby all night long i wanna roll witcha lady feelin so strong i wanna rock witcha baby all night long rockin rollin rollin rock makin sweet lovin dont you ever stopi wanna rock witcha baby girl all night long i wanna roll witcha lady feelin so feelin so strong i wanna rock witcha baby all night long rockin rollin rollin rock makin sweet lovin dont you ever stopi wanna rock witcha baby all night long i wanna roll witcha lady feelin so feelin so strong i wanna rock witcha baby all night long 
96,thinking of you,safire,1989, as i sit looking out the window i can still remember they call me to tell me you went away it was such a cold dayon a sunday morning it came without a warning and all the pain i felt inside i just cant forget youim feeling so alone though many times ive tried i cant get you off my mind im thinking of you wonder where you are tonight i wish that i could hold you tightim thinking of you wish you could stay but youre so far away so far awayand even though youre gone i know youre happy where you are i know someday will be together together againon a sunday morning it came without a warning and all the pain i felt inside i just cant forget youim feeling so alone though many times ive tried i cant get you off my mindim thinking of you wonder where you are tonight i wish that i could hold you tight im thinking of you wish you could stay but youre so far away so far awayi know someday ill hold you again you and me together again but until that day im thinking of youim thinking of you i wonder where you are tonight i wish i could hold you tight im thinking of youi wish could you could stay but youre so far away im thinking of you im thinking of you i wonder where you are tonight i wish i could hold you tight im thinking of youi wish could you could stay but youre so far away im thinking of you 
97,what you dont know,expose,1989, no is not an answer one that i might try to understand you see love is only letters until you prove your love is here inside for me can you feel it feel it or cant you see cant you see ill never love someone as much i know when you see me see me its what youll get what youll get until i know its real it wont change how i feelwhat you dont know might hurt you what you dont know if you dont know it wont hurt you what you dont knowyou you play with fire i know one day youre gonna be the one to burn love is like a game what goes around comes around you wait your turn its a feeling feeling to change with time change with time well always be together wait and see if you know me know me thats what youll get what youll get until i know its real it wont change how i feelwhat you dont know might hurt you what you dont know if you dont know it wont hurt you what you dont knowwhat you dont know might hurt you what you dont know if you dont know it wont hurt you what you dont knowwhat you dont know no never know what you dont know no never know what you dont know no never know what you dont know no never knowwhat you dont know might hurt you what you dont know if you dont know it wont hurt you what you dont knowwhat you dont know might hurt you what you dont know if you dont know it wont hurt you what you dont knowwhat you dont know so baby what you dont know wont hurt you now i dont wanna hurt you baby no i dont wanna hurt you baby no i dont wanna hurt you baby no no no and if you dont know you wont let go what you dont knowna na na na whoa whoa na na na na na na na na na na na whoa whoa na na na na na na na 
98,surrender to me,ann wilson and robin zander,1989,is it that weve been together much too long the answer may not be in black and white were always trying to prove whos right or wrong yet now were giving up without a fight but i know when youre gone ill wish i held on so baby surrender to me therell be no holding back now so baby surrender to me tonight i dont want our love to cause you so much pain if this is how its going to be ill walk away oh neither one of us should ever say goodbye lets forget about the past and whos to blame cause when this is all gone well wish wed held on so baby surrender to me therell be no holding back now so baby surrender to me tonight how could this love be in danger that used to be so good so right to think that fate could make us strangers has thrown me in your arms tonight so baby surrender to me therell be no holding back now so baby surrender to me tonight so baby surrender
